postgis_fi,lat_y_dd,long_x_dd,lastsurvey,recentspec,recentstat,Nest_ID
361,40.267502,-104.870872,2012-03-16,Swainsons Hawk,INACTIVE NEST,"361"
362,40.264321,-104.860255,2012-03-16,Swainsons Hawk,INACTIVE NEST,"362"
1,38.650081,-105.494251,2014-07-28,Swainsons Hawk,INACTIVE NEST,"1"
2,40.309574,-104.932604,2011-01-06,Swainsons Hawk,INACTIVE NEST,"2"
3,40.219343,-104.729246,2014-07-03,Swainsons Hawk,ACTIVE NEST,"3"
4,40.217638,-104.779386,2011-01-06,Red-tail Hawk,FLEDGED NEST,"4"
5,40.271203,-104.740819,2011-01-06,Swainsons Hawk,INACTIVE NEST,"5"
6,40.357587,-104.737632,2011-01-06,Swainsons Hawk,ACTIVE NEST,"6"
7,40.35966,-104.730698,2011-01-06,Swainsons Hawk,FLEDGED NEST,"7"
8,40.358919,-104.725179,2011-01-06,Red-tail Hawk,INACTIVE NEST,"8"
9,40.000189,-104.860463,2011-01-06,Swainsons Hawk,FLEDGED NEST,"9"
10,40.198163,-104.918726,2011-01-06,Swainsons Hawk,INACTIVE NEST,"10"
11,40.033635,-104.833716,2011-01-06,Red-tail Hawk,INACTIVE NEST,"11"
12,40.327655,-104.574845,2011-01-06,Red-tail Hawk,INACTIVE NEST,"12"
13,40.220769,-104.731024,2014-07-24,Swainsons Hawk,INACTIVE NEST,"13"
14,40.12669,-105.020896,2011-01-06,Swainsons Hawk,ACTIVE NEST,"14"
15,40.225065,-104.627044,2011-01-06,Red-tail Hawk,FLEDGED NEST,"15"
371,40.18432,-104.77275,2012-03-23,Swainsons Hawk,FLEDGED NEST,"371"
913,40.138876,-104.976541,2015-09-10,Red-tail Hawk,INACTIVE NEST,"913"
914,40.140884,-104.951201,2015-09-10,Red-tail Hawk,INACTIVE NEST,"914"
915,40.131518,-104.963308,2015-09-10,Red-tail Hawk,INACTIVE NEST,"915"
916,40.131956,-104.959158,2015-09-10,Swainsons Hawk,INACTIVE NEST,"916"
917,40.368366,-104.963993,2015-10-14,Red-tail Hawk,INACTIVE NEST,"917"
918,40.357932,-104.965152,2015-10-14,Red-tail Hawk,INACTIVE NEST,"918"
919,40.35701,-104.963257,2015-10-14,Swainsons Hawk,INACTIVE NEST,"919"
16,40.243589,-104.730385,2011-01-06,Swainsons Hawk,ACTIVE NEST,"16"
17,40.185072,-104.844298,2011-01-06,Red-tail Hawk,ACTIVE NEST,"17"
18,40.240403,-104.860404,2011-01-06,Red-tail Hawk,INACTIVE NEST,"18"
19,40.226344,-104.850214,2011-01-06,Red-tail Hawk,ACTIVE NEST,"19"
20,40.229449,-104.8522,2011-01-06,Red-tail Hawk,ACTIVE NEST,"20"
21,40.301935,-104.947598,2011-01-06,Swainsons Hawk,INACTIVE NEST,"21"
22,40.196557,-104.851282,2011-01-06,Swainsons Hawk,INACTIVE NEST,"22"
23,40.138615,-104.989487,2014-06-25,Swainsons Hawk,INACTIVE NEST,"23"
24,40.140795,-104.714801,2011-01-06,Red-tail Hawk,INACTIVE NEST,"24"
25,40.231893,-104.860162,2011-01-06,Red-tail Hawk,INACTIVE NEST,"25"
26,40.141795,-104.714559,2011-01-06,Swainsons Hawk,INACTIVE NEST,"26"
27,40.196828,-104.830056,2011-01-06,Red-tail Hawk,ACTIVE NEST,"27"
28,40.181554,-104.603392,2011-01-06,Red-tail Hawk,INACTIVE NEST,"28"
29,40.182014,-104.660659,2011-01-06,Red-tail Hawk,INACTIVE NEST,"29"
30,40.195063,-104.849572,2011-01-06,Swainsons Hawk,INACTIVE NEST,"30"
31,40.175037,-104.946548,2011-01-06,Swainsons Hawk,ACTIVE NEST,"31"
32,40.22518,-104.838378,2011-01-06,Red-tail Hawk,INACTIVE NEST,"32"
33,40.174755,-104.799249,2011-01-06,Red-tail Hawk,INACTIVE NEST,"33"
34,40.019042,-104.942779,2011-01-06,Red-tail Hawk,ACTIVE NEST,"34"
35,40.181961,-104.847581,2011-01-06,Red-tail Hawk,ACTIVE NEST,"35"
36,40.18421,-104.876609,2011-01-06,Swainsons Hawk,ACTIVE NEST,"36"
37,40.185009,-104.876566,2011-01-06,Red-tail Hawk,FLEDGED NEST,"37"
38,40.074776,-105.047018,2008-04-25,Red-tail Hawk,INACTIVE NEST,"38"
39,40.143726,-104.984522,2008-04-25,Red-tail Hawk,INACTIVE NEST,"39"
40,40.231198,-104.626507,2008-04-25,Red-tail Hawk,INACTIVE NEST,"40"
41,40.14024,-104.984017,2008-04-25,Red-tail Hawk,INACTIVE NEST,"41"
42,40.280158,-105.023386,2008-04-25,Swainsons Hawk,ACTIVE NEST,"42"
43,40.441386,-104.852749,2008-04-25,Swainsons Hawk,FLEDGED NEST,"43"
44,40.2483,-104.598365,2008-04-25,Red-tail Hawk,ACTIVE NEST,"44"
45,40.25945,-104.594912,2008-04-25,Red-tail Hawk,FLEDGED NEST,"45"
46,40.322534,-104.630024,2008-04-25,Swainsons Hawk,INACTIVE NEST,"46"
47,40.271404,-104.629232,2008-04-25,Swainsons Hawk,INACTIVE NEST,"47"
48,40.27624,-104.578685,2008-04-25,Red-tail Hawk,INACTIVE NEST,"48"
49,40.283779,-105.026692,2008-04-25,Red-tail Hawk,INACTIVE NEST,"49"
50,40.275573,-105.019373,2008-04-25,Red-tail Hawk,ACTIVE NEST,"50"
51,40.485335,-104.452276,2008-04-25,Swainsons Hawk,INACTIVE NEST,"51"
52,40.341314,-104.617747,2008-04-25,Red-tail Hawk,INACTIVE NEST,"52"
53,40.275542,-104.67526,2008-04-25,Swainsons Hawk,INACTIVE NEST,"53"
54,40.270743,-104.679423,2008-04-25,Swainsons Hawk,INACTIVE NEST,"54"
55,39.84752,-104.61775,2008-04-25,Swainsons Hawk,INACTIVE NEST,"55"
56,40.25559,-104.58366,2008-04-25,Swainsons Hawk,FLEDGED NEST,"56"
57,40.58071,-104.50874,2008-04-25,Swainsons Hawk,INACTIVE NEST,"57"
58,40.53128,-104.83036,2008-04-25,Red-tail Hawk,INACTIVE NEST,"58"
59,40.53205,-104.65707,2008-04-25,Red-tail Hawk,INACTIVE NEST,"59"
60,40.55687,-104.86309,2008-04-25,Red-tail Hawk,INACTIVE NEST,"60"
61,40.283752,-105.026892,2008-04-25,Red-tail Hawk,INACTIVE NEST,"61"
62,40.116947,-105.036532,2008-04-25,Swainsons Hawk,INACTIVE NEST,"62"
63,40.362427,-104.764271,2008-04-25,Swainsons Hawk,FLEDGED NEST,"63"
64,40.121593,-105.005058,2008-04-25,Red-tail Hawk,INACTIVE NEST,"64"
65,40.486637,-104.451427,2008-04-25,Swainsons Hawk,INACTIVE NEST,"65"
66,40.201173,-104.907319,2008-04-25,Red-tail Hawk,FLEDGED NEST,"66"
67,40.200841,-104.909011,2008-04-25,Red-tail Hawk,INACTIVE NEST,"67"
68,40.179032,-104.831177,2008-04-25,Red-tail Hawk,ACTIVE NEST,"68"
69,40.048844,-104.831487,2008-04-25,Red-tail Hawk,FLEDGED NEST,"69"
70,40.168236,-104.623535,2008-04-25,Swainsons Hawk,INACTIVE NEST,"70"
71,40.161225,-104.631465,2014-09-04,Red-tail Hawk,ACTIVE NEST,"71"
72,40.157045,-104.620332,2008-04-25,Swainsons Hawk,INACTIVE NEST,"72"
73,40.155659,-104.620748,2008-04-25,Red-tail Hawk,INACTIVE NEST,"73"
75,40.135336,-104.61632,2008-04-25,Swainsons Hawk,INACTIVE NEST,"75"
76,40.313602,-104.933598,2008-04-25,Red-tail Hawk,ACTIVE NEST,"76"
77,40.256101,-104.971308,2008-04-25,Swainsons Hawk,INACTIVE NEST,"77"
78,40.225608,-104.848821,2008-04-25,Red-tail Hawk,FLEDGED NEST,"78"
79,40.064704,-104.847137,2008-04-25,Red-tail Hawk,FLEDGED NEST,"79"
80,40.0586,-104.836715,2008-04-25,Swainsons Hawk,ACTIVE NEST,"80"
81,40.06284,-104.834489,2008-04-25,Swainsons Hawk,INACTIVE NEST,"81"
82,40.038086,-104.831619,2008-04-25,Red-tail Hawk,ACTIVE NEST,"82"
83,40.048069,-104.831336,2008-04-25,Red-tail Hawk,INACTIVE NEST,"83"
84,40.062771,-104.830749,2008-04-25,Swainsons Hawk,INACTIVE NEST,"84"
85,40.06178,-104.830306,2008-04-25,Red-tail Hawk,ACTIVE NEST,"85"
86,40.050671,-104.830275,2008-04-25,Swainsons Hawk,ACTIVE NEST,"86"
87,40.046409,-104.830121,2008-04-25,Red-tail Hawk,INACTIVE NEST,"87"
88,40.063599,-104.829832,2008-04-25,Swainsons Hawk,INACTIVE NEST,"88"
89,40.037714,-104.829709,2008-04-25,Red-tail Hawk,INACTIVE NEST,"89"
90,40.038471,-104.829695,2008-04-25,Red-tail Hawk,INACTIVE NEST,"90"
91,40.036795,-104.829582,2008-04-25,Swainsons Hawk,INACTIVE NEST,"91"
92,40.031947,-104.829477,2008-04-25,Swainsons Hawk,FLEDGED NEST,"92"
93,40.049804,-104.829175,2008-04-25,Red-tail Hawk,INACTIVE NEST,"93"
94,40.048244,-104.828065,2014-06-09,Red-tail Hawk,ACTIVE NEST,"94"
95,40.049477,-104.8271,2008-04-25,Red-tail Hawk,INACTIVE NEST,"95"
96,40.035529,-104.826561,2008-04-25,Red-tail Hawk,INACTIVE NEST,"96"
97,40.058384,-104.824545,2008-04-25,Swainsons Hawk,ACTIVE NEST,"97"
98,40.061459,-104.820562,2008-04-25,Red-tail Hawk,INACTIVE NEST,"98"
99,40.530799,-104.831797,2008-06-03,Swainsons Hawk,FLEDGED NEST,"99"
100,40.338229,-104.587601,2008-06-03,Red-tail Hawk,INACTIVE NEST,"100"
101,40.487824,-104.768116,2008-06-03,Swainsons Hawk,FLEDGED NEST,"101"
102,40.08835,-104.508468,2008-06-03,Swainsons Hawk,FLEDGED NEST,"102"
103,40.517867,-104.827522,2008-06-03,Red-tail Hawk,INACTIVE NEST,"103"
104,40.508454,-104.830224,2008-06-03,Red-tail Hawk,FLEDGED NEST,"104"
105,40.518207,-104.82783,2008-06-03,Red-tail Hawk,FLEDGED NEST,"105"
106,40.326908,-104.581231,2008-06-03,Swainsons Hawk,INACTIVE NEST,"106"
107,40.057375,-104.576964,2008-06-03,Red-tail Hawk,INACTIVE NEST,"107"
108,40.290293,-104.876666,2008-06-03,Swainsons Hawk,INACTIVE NEST,"108"
109,40.310841,-104.866732,2008-06-03,Red-tail Hawk,ACTIVE NEST,"109"
110,40.501811,-104.471308,2008-06-03,Red-tail Hawk,INACTIVE NEST,"110"
111,40.266192,-104.666249,2008-06-03,Red-tail Hawk,INACTIVE NEST,"111"
112,40.185024,-105.155517,2008-06-03,Red-tail Hawk,INACTIVE NEST,"112"
114,40.38259,-104.94166,2008-06-03,Swainsons Hawk,FLEDGED NEST,"114"
115,40.57187,-104.819655,2008-06-03,Red-tail Hawk,ACTIVE NEST,"115"
116,40.357831,-104.719123,2008-06-03,Red-tail Hawk,INACTIVE NEST,"116"
117,40.130134,-104.993051,2008-06-03,Red-tail Hawk,FLEDGED NEST,"117"
118,40.48504,-104.61311,2008-06-03,Red-tail Hawk,ACTIVE NEST,"118"
119,40.232609,-104.730173,2014-07-16,Swainsons Hawk,INACTIVE NEST,"119"
121,40.235751,-104.744902,2014-07-18,Red-tail Hawk,INACTIVE NEST,"121"
122,40.272105,-104.934651,2014-04-30,Swainsons Hawk,ACTIVE NEST,"122"
123,40.275357,-104.93313,2014-07-23,Red-tail Hawk,FLEDGED NEST,"123"
124,40.476414,-104.794357,2008-06-03,Swainsons Hawk,FLEDGED NEST,"124"
125,40.338705,-104.587316,2008-06-03,Red-tail Hawk,FLEDGED NEST,"125"
126,40.347629,-104.591041,2008-06-03,Swainsons Hawk,INACTIVE NEST,"126"
127,40.193263,-104.918913,2014-07-11,Swainsons Hawk,ACTIVE NEST,"127"
128,40.419094,-104.864786,2009-02-16,Red-tail Hawk,FLEDGED NEST,"128"
129,40.420177,-104.86661,2009-02-16,Swainsons Hawk,ACTIVE NEST,"129"
130,40.182479,-105.021958,2009-02-16,Swainsons Hawk,ACTIVE NEST,"130"
131,40.177304,-104.832708,2009-02-16,Red-tail Hawk,INACTIVE NEST,"131"
132,40.293525,-104.826139,2009-02-16,Red-tail Hawk,FLEDGED NEST,"132"
133,40.293302,-104.827081,2009-02-16,Swainsons Hawk,INACTIVE NEST,"133"
134,40.295341,-104.829523,2009-02-16,Red-tail Hawk,INACTIVE NEST,"134"
135,40.239064,-104.560988,2009-02-16,Red-tail Hawk,ACTIVE NEST,"135"
136,40.236308,-104.561158,2009-02-16,Swainsons Hawk,INACTIVE NEST,"136"
137,40.161485,-104.736432,2009-02-16,Red-tail Hawk,INACTIVE NEST,"137"
138,40.167251,-104.895186,2009-09-21,Red-tail Hawk,ACTIVE NEST,"138"
139,40.174632,-104.908529,2009-09-21,Red-tail Hawk,FLEDGED NEST,"139"
140,40.168164,-104.889043,2009-09-21,Red-tail Hawk,ACTIVE NEST,"140"
141,40.168317,-104.888796,2009-09-21,Red-tail Hawk,INACTIVE NEST,"141"
142,39.850724,-104.362036,2009-09-21,Red-tail Hawk,ACTIVE NEST,"142"
143,40.222794,-104.728426,2014-08-14,Red-tail Hawk,ACTIVE NEST,"143"
144,40.153272,-104.849557,2009-09-21,Swainsons Hawk,FLEDGED NEST,"144"
145,40.193823,-104.909103,2009-09-21,Red-tail Hawk,FLEDGED NEST,"145"
146,40.034008,-104.869171,2009-09-21,Red-tail Hawk,INACTIVE NEST,"146"
147,40.072767,-104.7324,2009-09-21,Red-tail Hawk,INACTIVE NEST,"147"
148,40.167169,-104.624985,2009-09-21,Red-tail Hawk,FLEDGED NEST,"148"
149,40.169002,-104.623601,2009-09-21,Red-tail Hawk,INACTIVE NEST,"149"
151,40.103025,-105.044244,2009-09-21,Red-tail Hawk,INACTIVE NEST,"151"
152,40.132348,-104.617414,2014-08-13,Red-tail Hawk,ACTIVE NEST,"152"
153,40.135256,-104.616223,2009-09-21,Red-tail Hawk,INACTIVE NEST,"153"
154,40.1125,-105.051913,2009-09-21,Red-tail Hawk,FLEDGED NEST,"154"
155,40.076103,-105.006404,2009-09-21,Red-tail Hawk,INACTIVE NEST,"155"
156,40.170812,-104.997346,2014-03-28,Swainsons Hawk,FLEDGED NEST,"156"
157,40.145261,-104.80076,2009-09-21,Red-tail Hawk,INACTIVE NEST,"157"
158,40.006736,-104.950838,2009-12-01,Swainsons Hawk,INACTIVE NEST,"158"
159,40.29972,-104.661765,2009-12-01,Swainsons Hawk,INACTIVE NEST,"159"
160,40.289884,-104.668438,2009-12-01,Swainsons Hawk,INACTIVE NEST,"160"
161,40.292939,-104.671882,2009-12-01,Swainsons Hawk,ACTIVE NEST,"161"
162,40.293358,-104.673633,2009-12-01,Red-tail Hawk,ACTIVE NEST,"162"
163,40.226344,-104.789309,2009-12-01,Red-tail Hawk,ACTIVE NEST,"163"
164,40.159268,-104.832881,2009-12-01,Swainsons Hawk,INACTIVE NEST,"164"
165,40.160131,-104.831494,2009-12-01,Red-tail Hawk,INACTIVE NEST,"165"
166,40.21755,-104.778994,2009-12-01,Red-tail Hawk,ACTIVE NEST,"166"
167,40.136026,-104.987064,2014-06-25,Swainsons Hawk,FLEDGED NEST,"167"
168,40.145528,-104.969699,2014-06-25,Red-tail Hawk,INACTIVE NEST,"168"
169,39.91276,-104.778561,2010-03-23,Red-tail Hawk,FLEDGED NEST,"169"
170,39.919324,-104.785643,2010-03-23,Swainsons Hawk,INACTIVE NEST,"170"
171,39.91862,-104.789916,2010-03-23,Swainsons Hawk,ACTIVE NEST,"171"
173,40.072903,-104.895859,2010-03-23,Red-tail Hawk,INACTIVE NEST,"173"
174,40.166473,-104.851078,2014-06-26,Red-tail Hawk,ACTIVE NEST,"174"
175,40.160287,-104.861343,2010-03-23,Swainsons Hawk,INACTIVE NEST,"175"
176,40.162092,-104.848625,2014-06-26,Swainsons Hawk,ACTIVE NEST,"176"
177,40.356638,-104.853652,2010-03-23,Red-tail Hawk,INACTIVE NEST,"177"
178,40.174502,-104.928179,2010-03-23,Red-tail Hawk,ACTIVE NEST,"178"
179,40.341031,-104.838486,2010-03-23,Red-tail Hawk,INACTIVE NEST,"179"
180,40.338924,-104.838773,2010-03-23,Red-tail Hawk,INACTIVE NEST,"180"
181,40.235283,-104.933358,2010-03-23,Red-tail Hawk,ACTIVE NEST,"181"
182,40.201741,-104.983809,2010-03-23,Red-tail Hawk,ACTIVE NEST,"182"
184,39.977388,-104.893334,2010-03-23,Red-tail Hawk,INACTIVE NEST,"184"
185,39.98485,-104.905527,2010-03-23,Swainsons Hawk,INACTIVE NEST,"185"
186,40.174497,-104.758157,2010-03-23,Red-tail Hawk,INACTIVE NEST,"186"
187,40.169435,-104.640757,2010-03-23,Red-tail Hawk,INACTIVE NEST,"187"
188,40.140847,-104.714829,2010-03-23,Red-tail Hawk,ACTIVE NEST,"188"
189,40.099861,-105.014888,2010-10-26,Swainsons Hawk,ACTIVE NEST,"189"
190,40.177878,-104.960722,2014-08-15,Red-tail Hawk,INACTIVE NEST,"190"
191,40.07458,-104.985551,2010-10-26,Red-tail Hawk,INACTIVE NEST,"191"
192,40.061201,-105.005382,2010-10-26,Red-tail Hawk,ACTIVE NEST,"192"
193,40.372327,-104.443097,2010-10-26,Red-tail Hawk,ACTIVE NEST,"193"
194,40.371026,-104.449951,2010-10-26,Swainsons Hawk,FLEDGED NEST,"194"
195,40.131129,-104.668929,2010-10-26,Red-tail Hawk,FLEDGED NEST,"195"
196,40.112731,-104.948514,2011-04-06,Red-tail Hawk,ACTIVE NEST,"196"
197,40.061725,-104.848436,2011-04-06,Swainsons Hawk,ACTIVE NEST,"197"
198,40.113723,-104.949271,2011-04-06,Red-tail Hawk,ACTIVE NEST,"198"
199,40.172293,-104.784592,2011-04-06,Red-tail Hawk,INACTIVE NEST,"199"
200,40.126929,-104.814651,2011-04-06,Red-tail Hawk,INACTIVE NEST,"200"
201,40.145757,-104.779728,2011-04-06,Swainsons Hawk,INACTIVE NEST,"201"
202,40.268263,-104.743564,2011-04-06,Swainsons Hawk,INACTIVE NEST,"202"
203,40.150653,-104.980521,2011-04-06,Red-tail Hawk,ACTIVE NEST,"203"
204,40.152757,-104.815532,2011-04-06,Red-tail Hawk,INACTIVE NEST,"204"
205,40.148665,-104.826989,2011-04-06,Red-tail Hawk,INACTIVE NEST,"205"
206,40.147341,-104.825788,2011-04-06,Red-tail Hawk,INACTIVE NEST,"206"
207,40.134698,-104.828673,2011-04-06,Swainsons Hawk,ACTIVE NEST,"207"
208,40.14708,-104.834212,2011-04-06,Red-tail Hawk,INACTIVE NEST,"208"
209,40.13957,-104.825099,2011-04-06,Red-tail Hawk,INACTIVE NEST,"209"
210,40.128951,-104.774438,2014-08-13,Red-tail Hawk,INACTIVE NEST,"210"
211,40.122824,-104.709241,2011-04-06,Red-tail Hawk,INACTIVE NEST,"211"
212,40.121872,-104.709205,2011-04-06,Red-tail Hawk,FLEDGED NEST,"212"
213,40.123081,-104.709844,2011-04-06,Swainsons Hawk,INACTIVE NEST,"213"
214,40.125323,-104.715126,2011-04-06,Red-tail Hawk,ACTIVE NEST,"214"
215,40.150356,-104.727755,2015-07-17,Swainsons Hawk,INACTIVE NEST,"215"
216,40.153737,-104.734575,2011-04-06,Swainsons Hawk,ACTIVE NEST,"216"
217,40.187351,-104.696651,2011-04-06,Red-tail Hawk,INACTIVE NEST,"217"
218,40.131003,-104.819187,2011-04-06,Red-tail Hawk,FLEDGED NEST,"218"
219,40.247995,-104.709889,2011-04-06,Red-tail Hawk,INACTIVE NEST,"219"
220,40.20476,-104.731688,2014-07-09,Swainsons Hawk,INACTIVE NEST,"220"
221,40.203464,-104.764686,2011-04-06,Swainsons Hawk,INACTIVE NEST,"221"
222,40.209897,-104.772162,2014-06-10,Swainsons Hawk,FLEDGED NEST,"222"
223,40.196331,-104.777856,2011-04-06,Red-tail Hawk,INACTIVE NEST,"223"
224,40.287577,-104.658659,2011-04-06,Red-tail Hawk,INACTIVE NEST,"224"
225,40.321585,-104.902831,2011-04-06,Swainsons Hawk,INACTIVE NEST,"225"
226,40.26126,-104.83005,2011-04-06,Swainsons Hawk,INACTIVE NEST,"226"
227,40.134202,-104.846785,2011-04-06,Swainsons Hawk,FLEDGED NEST,"227"
228,40.303645,-104.639123,2011-04-06,Red-tail Hawk,INACTIVE NEST,"228"
229,40.287961,-104.657788,2011-04-06,Swainsons Hawk,INACTIVE NEST,"229"
230,40.139559,-104.674827,2015-03-19,Red-tail Hawk,ACTIVE NEST,"230"
231,40.182995,-104.976268,2011-04-06,Red-tail Hawk,FLEDGED NEST,"231"
232,40.311822,-104.598844,2011-04-06,Red-tail Hawk,ACTIVE NEST,"232"
233,40.344244,-104.877918,2011-04-06,Swainsons Hawk,FLEDGED NEST,"233"
234,40.190365,-104.852526,2014-05-12,Red-tail Hawk,FLEDGED NEST,"234"
235,40.191627,-104.854105,2011-04-06,Red-tail Hawk,ACTIVE NEST,"235"
236,40.352189,-104.834265,2011-04-06,Swainsons Hawk,ACTIVE NEST,"236"
237,40.284446,-104.859843,2011-04-06,Swainsons Hawk,INACTIVE NEST,"237"
238,40.130103,-104.655518,2015-07-28,Red-tail Hawk,ACTIVE NEST,"238"
239,40.141795,-104.714559,2011-04-06,Swainsons Hawk,INACTIVE NEST,"239"
240,40.140795,-104.714801,2011-04-06,Swainsons Hawk,FLEDGED NEST,"240"
241,40.354755,-104.815219,2011-04-06,Swainsons Hawk,FLEDGED NEST,"241"
242,40.219212,-104.938508,2014-03-24,Swainsons Hawk,FLEDGED NEST,"242"
243,40.2342,-104.753392,2011-04-06,Swainsons Hawk,ACTIVE NEST,"243"
244,40.233822,-104.854233,2011-04-06,Swainsons Hawk,INACTIVE NEST,"244"
246,40.280609,-104.855574,2011-04-06,Red-tail Hawk,ACTIVE NEST,"246"
247,40.282149,-104.85632,2011-04-06,Red-tail Hawk,FLEDGED NEST,"247"
248,40.083363,-104.973908,2011-04-06,Red-tail Hawk,INACTIVE NEST,"248"
249,40.35496,-104.815277,2011-04-06,Red-tail Hawk,INACTIVE NEST,"249"
250,40.26248,-104.632276,2011-04-06,Swainsons Hawk,ACTIVE NEST,"250"
251,40.094522,-104.794962,2011-04-06,Red-tail Hawk,INACTIVE NEST,"251"
252,40.135756,-104.602597,2011-04-06,Swainsons Hawk,INACTIVE NEST,"252"
253,40.157458,-104.618074,2011-04-06,Swainsons Hawk,INACTIVE NEST,"253"
254,40.156475,-104.870785,2015-08-10,Swainsons Hawk,FLEDGED NEST,"254"
255,40.166938,-104.650126,2011-04-06,Red-tail Hawk,INACTIVE NEST,"255"
256,40.074878,-104.775723,2011-04-06,Red-tail Hawk,INACTIVE NEST,"256"
257,40.040354,-104.976636,2011-04-06,Red-tail Hawk,INACTIVE NEST,"257"
258,40.082473,-104.972632,2011-04-06,Swainsons Hawk,FLEDGED NEST,"258"
259,40.369841,-104.630526,2011-04-06,Red-tail Hawk,INACTIVE NEST,"259"
260,40.356707,-104.815209,2011-04-06,Swainsons Hawk,ACTIVE NEST,"260"
261,40.184555,-104.842425,2011-04-06,Red-tail Hawk,INACTIVE NEST,"261"
262,40.221135,-104.752757,2014-06-26,Swainsons Hawk,ACTIVE NEST,"262"
263,40.217543,-104.967378,2011-04-06,Swainsons Hawk,INACTIVE NEST,"263"
264,40.238115,-104.633649,2011-04-06,Red-tail Hawk,ACTIVE NEST,"264"
265,40.139405,-104.67469,2015-03-03,Red-tail Hawk,ACTIVE NEST,"265"
266,40.14141,-104.659302,2011-04-06,Red-tail Hawk,INACTIVE NEST,"266"
267,40.152424,-104.655317,2011-04-06,Red-tail Hawk,INACTIVE NEST,"267"
268,40.132348,-104.876502,2015-03-17,Swainsons Hawk,FLEDGED NEST,"268"
269,40.13096,-104.867264,2011-04-06,Red-tail Hawk,INACTIVE NEST,"269"
270,40.271286,-104.680353,2011-04-06,Swainsons Hawk,INACTIVE NEST,"270"
271,40.149666,-104.871301,2015-07-27,Red-tail Hawk,INACTIVE NEST,"271"
272,40.149492,-104.8725,2015-07-27,Red-tail Hawk,FLEDGED NEST,"272"
273,40.15034,-104.872404,2015-07-27,Red-tail Hawk,ACTIVE NEST,"273"
274,40.246646,-104.730501,2011-04-06,Red-tail Hawk,INACTIVE NEST,"274"
276,40.246662,-104.731529,2011-04-06,Swainsons Hawk,INACTIVE NEST,"276"
277,40.24669,-104.728128,2011-04-06,Swainsons Hawk,ACTIVE NEST,"277"
278,40.215623,-104.650392,2011-04-06,Red-tail Hawk,INACTIVE NEST,"278"
279,40.215362,-104.650986,2011-04-06,Red-tail Hawk,ACTIVE NEST,"279"
280,40.264665,-104.665357,2011-04-06,Red-tail Hawk,ACTIVE NEST,"280"
281,40.265551,-104.666134,2011-04-06,Red-tail Hawk,ACTIVE NEST,"281"
282,40.246151,-104.711471,2011-08-02,Red-tail Hawk,INACTIVE NEST,"282"
283,39.979003,-104.960247,2011-08-02,Swainsons Hawk,INACTIVE NEST,"283"
284,39.940391,-105.024798,2011-08-02,Red-tail Hawk,ACTIVE NEST,"284"
285,40.155977,-104.637058,2011-08-02,Swainsons Hawk,ACTIVE NEST,"285"
286,40.140005,-104.675341,2015-03-19,Swainsons Hawk,ACTIVE NEST,"286"
287,40.140923,-104.676326,2015-03-19,Swainsons Hawk,ACTIVE NEST,"287"
288,40.262209,-104.677883,2011-08-02,Red-tail Hawk,FLEDGED NEST,"288"
289,40.151287,-104.73021,2014-04-08,Red-tail Hawk,INACTIVE NEST,"289"
290,40.151167,-104.729671,2014-04-08,Swainsons Hawk,ACTIVE NEST,"290"
291,40.152257,-104.668938,2011-08-02,Red-tail Hawk,INACTIVE NEST,"291"
292,40.478033,-104.594495,2011-11-07,Swainsons Hawk,INACTIVE NEST,"292"
